,station_status,last_reported,is_returning,is_renting,num_docks_disabled,num_bikes_disabled,num_docks_available,station_id,num_bikes_available,is_installed,num_ebikes_available,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,starttime,timestamp,demand,supply
572,active,1605136711,1,1,0,1,20,3440,26,1,0,False,3440,,,1605139205,1605139205,0,1
573,active,1605139049,1,1,0,1,10,3443,29,1,3,False,3443,,,1605139205,1605139205,1,0
574,active,1605136139,1,1,0,0,0,3452,43,1,0,False,3452,,,1605139205,1605139205,0,1
575,active,1605139094,1,1,0,0,14,3453,5,1,0,False,3453,,,1605139205,1605139205,0,0
576,active,1605139153,1,1,0,0,12,3454,12,1,3,False,3454,,,1605139205,1605139205,0,2
577,active,1605135517,1,1,0,0,20,3456,2,1,0,False,3456,,,1605139205,1605139205,1,0
578,active,1605080089,0,0,46,0,0,3457,0,1,0,False,3457,,,1605139205,1605139205,0,0
579,active,1605136402,1,1,0,0,38,3459,3,1,0,False,3459,,,1605139205,1605139205,0,0
580,active,1605137240,1,1,0,0,9,3461,24,1,0,False,3461,,,1605139205,1605139205,0,0
581,active,1605138911,1,1,0,0,37,3462,2,1,0,False,3462,,,1605139205,1605139205,1,0
582,active,1605138500,1,1,0,0,3,3463,34,1,0,False,3463,,,1605139205,1605139205,1,0
583,active,1605138437,1,1,0,2,3,3467,39,1,5,False,3467,,,1605139205,1605139205,1,0
584,active,1605135902,1,1,0,0,0,3469,23,1,1,False,3469,,,1605139205,1605139205,0,1
585,active,1605139138,0,0,0,0,1,3472,38,1,10,False,3472,,,1605139205,1605139205,1,0
586,active,1605138345,1,1,1,0,0,3477,32,1,3,False,3477,,,1605139205,1605139205,0,0
587,active,1605132494,1,1,0,0,0,3478,43,1,2,False,3478,,,1605139205,1605139205,0,0
588,active,1605138708,1,1,0,1,3,3481,18,1,0,False,3481,,,1605139205,1605139205,0,0
589,active,1605134673,1,1,0,0,6,3483,8,1,0,False,3483,,,1605139205,1605139205,0,1
590,active,1605138060,1,1,0,0,3,3486,27,1,0,False,3486,,,1605139205,1605139205,0,0
591,active,1605137667,1,1,0,0,5,3490,26,1,3,False,3490,,,1605139205,1605139205,3,0
592,active,1605135894,1,1,0,0,1,3491,23,1,1,False,3491,,,1605139205,1605139205,0,0
593,active,1605138687,1,1,0,0,8,3492,19,1,0,False,3492,,,1605139205,1605139205,0,0
594,active,1605139171,1,1,0,0,3,3493,28,1,1,False,3493,,,1605139205,1605139205,0,0
595,active,1605138404,1,1,0,0,8,3494,17,1,0,False,3494,,,1605139205,1605139205,4,0
596,active,1605135193,1,1,0,0,3,3495,11,1,0,False,3495,,,1605139205,1605139205,0,0
597,active,1605138843,1,1,0,0,0,3496,25,1,2,False,3496,,,1605139205,1605139205,0,1
598,active,1605138638,1,1,0,2,7,3497,14,1,0,False,3497,,,1605139205,1605139205,0,1
599,active,1605130647,1,1,0,0,0,3498,21,1,2,False,3498,,,1605139205,1605139205,0,0
600,active,1605124626,1,1,0,1,2,3499,22,1,0,False,3499,,,1605139205,1605139205,0,0
601,active,1605134764,1,1,0,0,0,3500,31,1,1,False,3500,,,1605139205,1605139205,0,0
602,active,1605139045,1,1,0,0,5,3501,24,1,2,False,3501,,,1605139205,1605139205,2,0
603,active,1605135396,1,1,0,0,10,3502,19,1,1,False,3502,,,1605139205,1605139205,0,0
604,active,1605138042,1,1,0,0,6,3503,24,1,3,False,3503,,,1605139205,1605139205,1,0
605,active,1605131933,1,1,0,0,10,3504,17,1,0,True,3504,,,1605139205,1605139205,0,0
606,active,1605132389,1,1,0,5,5,3505,23,1,0,False,3505,,,1605139205,1605139205,0,0
607,active,1605134047,1,1,0,0,15,3506,14,1,0,False,3506,,,1605139205,1605139205,1,0
608,active,1605137516,1,1,0,0,12,3507,24,1,3,False,3507,,,1605139205,1605139205,0,2
609,active,1605139003,1,1,0,0,12,3508,19,1,1,False,3508,,,1605139205,1605139205,0,4
610,active,1605138864,1,1,0,0,7,3509,24,1,1,False,3509,,,1605139205,1605139205,2,0
611,active,1605137385,1,1,0,0,14,3510,17,1,2,False,3510,,,1605139205,1605139205,0,0
612,active,1605131678,1,1,0,2,2,3511,18,1,0,False,3511,,,1605139205,1605139205,1,0
613,active,1605138496,1,1,0,0,15,3513,6,1,4,False,3513,,,1605139205,1605139205,0,2
