,num_docks_available,num_bikes_disabled,is_returning,last_reported,station_status,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,is_installed,num_bikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,starttime,timestamp,demand,supply
591,12,0,1,1604684658,active,1,1,3491,0,1,12,3491,False,,,1604685595,1604685595,0.0,1.0
592,2,0,1,1604684084,active,1,0,3492,0,1,25,3492,False,,,1604685595,1604685595,0.0,1.0
593,13,0,1,1604685260,active,1,1,3493,0,1,18,3493,False,,,1604685595,1604685595,3.0,0.0
594,4,0,1,1604684605,active,1,0,3494,0,1,21,3494,False,,,1604685595,1604685595,0.0,1.0
595,5,1,1,1604684914,active,1,0,3495,0,1,20,3495,False,,,1604685595,1604685595,0.0,0.0
596,5,0,1,1604685566,active,1,0,3496,0,1,20,3496,False,,,1604685595,1604685595,0.0,2.0
597,3,3,1,1604685293,active,1,0,3497,0,1,17,3497,False,,,1604685595,1604685595,0.0,1.0
598,3,0,1,1604685442,active,1,3,3498,0,1,18,3498,False,,,1604685595,1604685595,0.0,3.0
599,4,1,1,1604685244,active,1,0,3499,0,1,20,3499,False,,,1604685595,1604685595,2.0,0.0
600,13,1,1,1604685581,active,1,0,3500,0,1,17,3500,False,,,1604685595,1604685595,1.0,0.0
601,2,0,1,1604684851,active,1,0,3501,0,1,27,3501,False,,,1604685595,1604685595,0.0,5.0
602,11,0,1,1604685396,active,1,1,3502,0,1,18,3502,False,,,1604685595,1604685595,1.0,0.0
603,8,0,1,1604685287,active,1,1,3503,0,1,22,3503,False,,,1604685595,1604685595,0.0,2.0
604,5,0,1,1604684617,active,1,0,3504,0,1,22,3504,True,,,1604685595,1604685595,0.0,1.0
605,21,6,1,1604684564,active,1,0,3505,0,1,6,3505,False,,,1604685595,1604685595,2.0,0.0
606,13,0,0,1604684135,active,0,0,3506,0,1,16,3506,False,,,1604685595,1604685595,0.0,0.0
607,12,0,1,1604685529,active,1,0,3507,0,1,24,3507,False,,,1604685595,1604685595,0.0,5.0
608,21,1,1,1604685264,active,1,1,3508,0,1,9,3508,False,,,1604685595,1604685595,1.0,0.0
609,15,0,1,1604685318,active,1,0,3509,0,1,16,3509,False,,,1604685595,1604685595,2.0,0.0
