,station_id,num_bikes_available,eightd_has_available_keys,last_reported,legacy_id,num_docks_available,num_ebikes_available,num_bikes_disabled,station_status,is_installed,num_docks_disabled,is_renting,is_returning,starttime,timestamp,demand,supply
228,508,10,False,1604239279,508,13,0,2,active,1,0,1,1,1604239360,1604239360,10,10
229,509,37,False,1604238840,509,24,0,0,active,1,0,1,1,1604239360,1604239360,37,37
230,510,0,False,1604223912,510,55,0,0,active,1,0,1,1,1604239360,1604239360,0,0
231,513,11,False,1604238493,513,17,1,1,active,1,0,1,1,1604239360,1604239360,11,11
232,514,41,True,1604239001,514,9,2,2,active,1,0,1,1,1604239360,1604239360,41,41
233,515,76,False,1604237865,515,0,3,3,active,1,0,0,0,1604239360,1604239360,76,76
234,516,11,False,1604238523,516,19,2,1,active,1,0,1,1,1604239360,1604239360,11,11
235,517,8,False,1604239302,517,61,0,0,active,1,0,1,1,1604239360,1604239360,8,8
236,519,17,False,1604239227,519,52,1,0,active,1,0,1,1,1604239360,1604239360,17,17
237,522,44,False,1604238360,522,6,1,1,active,1,0,1,1,1604239360,1604239360,44,44
238,525,39,False,1604239155,525,16,1,1,active,1,0,1,1,1604239360,1604239360,39,39
239,526,8,False,1604238730,526,31,1,1,active,1,0,1,1,1604239360,1604239360,8,8
240,528,22,False,1604239110,528,14,0,3,active,1,0,1,1,1604239360,1604239360,22,22
241,529,16,False,1604238371,529,25,0,0,active,1,0,1,1,1604239360,1604239360,16,16
242,530,19,False,1604238903,530,4,0,1,active,1,0,1,1,1604239360,1604239360,19,19
243,531,31,False,1604238941,531,8,1,0,active,1,0,1,1,1604239360,1604239360,31,31
244,532,37,False,1604239201,532,6,2,0,active,1,0,1,1,1604239360,1604239360,37,37
245,533,4,False,1604238092,533,41,0,1,active,1,0,1,1,1604239360,1604239360,4,4
246,534,26,False,1604238404,534,3,3,2,active,1,0,1,1,1604239360,1604239360,26,26
247,536,13,False,1604239018,536,14,1,1,active,1,0,1,1,1604239360,1604239360,13,13
248,539,30,False,1604239289,539,0,8,1,active,1,0,1,1,1604239360,1604239360,30,30
249,540,12,False,1604239099,540,40,2,1,active,1,1,1,1,1604239360,1604239360,12,12
250,545,12,False,1604238944,545,15,0,0,active,1,0,1,1,1604239360,1604239360,12,12
251,546,5,False,1604239268,546,40,0,0,active,1,0,1,1,1604239360,1604239360,5,5
252,2000,47,False,1604238557,2000,9,1,1,active,1,0,1,1,1604239360,1604239360,47,47
253,2002,12,False,1604239301,2002,14,1,1,active,1,0,1,1,1604239360,1604239360,12,12
254,2003,8,False,1604239181,2003,42,0,4,active,1,0,1,1,1604239360,1604239360,8,8
255,2005,8,False,1604236301,2005,4,0,0,active,1,0,1,1,1604239360,1604239360,8,8
256,2006,6,True,1604239104,2006,43,3,0,active,1,0,1,1,1604239360,1604239360,6,6
257,2008,24,True,1604239243,2008,0,1,0,active,1,0,1,1,1604239360,1604239360,24,24
258,2009,30,False,1604239346,2009,5,4,0,active,1,0,1,1,1604239360,1604239360,30,30
259,2010,5,False,1604238853,2010,57,0,3,active,1,0,1,1,1604239360,1604239360,5,5
260,2012,15,False,1604239119,2012,19,0,1,active,1,0,1,1,1604239360,1604239360,15,15
261,2017,6,False,1604238969,2017,33,0,0,active,1,0,1,1,1604239360,1604239360,6,6
262,2021,17,False,1604238647,2021,46,2,2,active,1,0,1,1,1604239360,1604239360,17,17
263,2022,5,False,1604239090,2022,28,3,0,active,1,0,1,1,1604239360,1604239360,5,5
264,3016,27,False,1604239060,3016,27,2,0,active,1,0,1,1,1604239360,1604239360,27,27
265,3041,13,False,1604238445,3041,11,6,0,active,1,0,1,1,1604239360,1604239360,13,13
266,3042,14,False,1604237133,3042,5,2,0,active,1,0,1,1,1604239360,1604239360,14,14
267,3043,15,False,1604236424,3043,3,3,1,active,1,0,1,1,1604239360,1604239360,15,15
268,3044,17,False,1604215393,3044,10,4,0,active,1,0,1,1,1604239360,1604239360,17,17
269,3046,11,False,1604234549,3046,8,2,0,active,1,0,1,1,1604239360,1604239360,11,11
270,3047,18,False,1604239247,3047,3,1,0,active,1,0,1,1,1604239360,1604239360,18,18
271,3048,14,False,1604227475,3048,4,4,1,active,1,0,1,1,1604239360,1604239360,14,14
272,3049,9,False,1604239087,3049,8,2,1,active,1,0,1,1,1604239360,1604239360,9,9
273,3050,3,False,1604239025,3050,17,3,1,active,1,0,1,1,1604239360,1604239360,3,3
274,3052,5,False,1604232016,3052,17,3,1,active,1,0,1,1,1604239360,1604239360,5,5
275,3053,3,False,1604237320,3053,19,0,1,active,1,0,1,1,1604239360,1604239360,3,3
276,3054,5,False,1604236568,3054,14,2,0,active,1,0,1,1,1604239360,1604239360,5,5
277,3055,9,False,1604238866,3055,14,3,0,active,1,0,1,1,1604239360,1604239360,9,9
278,3056,11,False,1604238324,3056,11,1,1,active,1,0,1,1,1604239360,1604239360,11,11
279,3057,1,False,1604237190,3057,17,0,0,active,1,0,1,1,1604239360,1604239360,1,1
280,3058,8,False,1604236662,3058,16,1,0,active,1,0,1,1,1604239360,1604239360,8,8
281,3059,2,False,1604236500,3059,17,1,0,active,1,0,1,1,1604239360,1604239360,2,2
282,3060,8,False,1604237443,3060,11,1,0,active,1,0,1,1,1604239360,1604239360,8,8
283,3061,4,False,1604226732,3061,17,0,0,active,1,0,1,1,1604239360,1604239360,4,4
284,3062,5,False,1604237729,3062,18,0,0,active,1,0,1,1,1604239360,1604239360,5,5
285,3063,7,False,1604239296,3063,11,1,2,active,1,0,1,1,1604239360,1604239360,7,7
286,3064,5,False,1604220274,3064,18,1,0,active,1,0,1,1,1604239360,1604239360,5,5
287,3065,3,False,1604235254,3065,28,2,0,active,1,0,1,1,1604239360,1604239360,3,3
288,3066,5,False,1604238214,3066,14,0,0,active,1,0,1,1,1604239360,1604239360,5,5
289,3067,15,False,1604236417,3067,12,2,0,active,1,0,1,1,1604239360,1604239360,15,15
290,3068,23,False,1604236339,3068,18,1,1,active,1,0,1,1,1604239360,1604239360,23,23
291,3069,2,False,1604237128,3069,27,1,0,active,1,0,1,1,1604239360,1604239360,2,2
